x,y
5.197284995381263872e-01,1.053513753039347217e-01
5.118390667683120343e-01,1.059795721222888121e-01
5.039466834548564922e-01,1.065579714877096656e-01
4.960533165451432858e-01,1.070862632577190693e-01
4.881609332316879657e-01,1.075641750439241678e-01
4.802715004618736128e-01,1.079914737617049952e-01
4.723869844477459057e-01,1.083679673356407053e-01
4.645093501759919308e-01,1.086935065053791505e-01
4.566405609182245251e-01,1.089679866747321896e-01
4.487825777416932782e-01,1.091913497459459925e-01
4.409373590205459825e-01,1.093635858813480910e-01
4.331068599477604364e-01,1.094847351359155008e-01
4.252930320478695014e-01,1.095548889067080450e-01
4.174978226906002621e-01,1.095741911485252906e-01
4.097231746055488566e-01,1.095428393095153191e-01
4.019710253980109393e-01,1.094610849457098162e-01
3.942433070660904537e-01,1.093292339794961487e-01
3.865419455192049547e-01,1.091476465737519358e-01
3.788688600981083288e-01,1.089167366006478649e-01
3.712259630965515922e-01,1.086369706918481615e-01
3.636151592846983971e-01,1.083088668648621716e-01
3.560383454344167031e-01,1.079329927284911061e-01
3.484974098465636327e-01,1.075099632785287140e-01
3.409942318803809158e-01,1.070404383029642664e-01
3.335306814851193291e-01,1.065251194237629290e-01
3.261086187340087594e-01,1.059647468097198869e-01
3.187298933606876883e-01,1.053600956017669427e-01
3.113963442982119467e-01,1.047119720983322039e-01
3.041097992207534295e-01,1.040212097537964037e-01
2.968720740881054532e-01,1.032886650476497747e-01
2.896849726931078894e-01,1.025152132855488563e-01
2.825502862121034298e-01,1.017017443960228223e-01
2.754697927585397776e-01,1.008491587880324114e-01
2.684452569398261268e-01,9.995836333490076830e-02
2.614784294175551138e-01,9.903026754929755704e-02
2.545710464712032106e-01,9.806578001196060435e-02
2.477248295654112531e-01,9.706580511370660469e-02
2.409414849209611797e-01,9.603124016605127378e-02
2.342227030895492890e-01,9.496297293047931132e-02
2.275701585324647058e-01,9.386187961016392856e-02
2.209855092032799173e-01,9.272882334081194999e-02
2.144703961346525745e-01,9.156465320941407915e-02
2.080264430293467526e-01,9.037020382114169248e-02
2.016552558555720354e-01,8.914629542556508357e-02
1.953584224467415642e-01,8.789373460392985171e-02
1.891375121057524145e-01,8.661331550956923031e-02
1.829940752138806137e-01,8.530582164378860965e-02
1.769296428443949964e-01,8.397202813991799797e-02
1.709457263809811556e-01,8.261270451882463117e-02
1.650438171410723021e-01,8.122861787018087476e-02
1.592253860041831226e-01,7.982053640534017558e-02
1.534918830453340655e-01,7.838923331992868337e-02
1.478447371736639759e-01,7.693549089735074453e-02
1.422853557763143484e-01,7.546010477845249698e-02
1.368151243676802298e-01,7.396388831770155103e-02
1.314354062441104865e-01,7.244767694251469381e-02
1.261475421441454192e-01,7.091233242987525498e-02
1.209528499143772695e-01,6.935874701318672786e-02
1.158526241810146074e-01,6.778784723244843380e-02
1.108481360272349225e-01,6.620059744232337229e-02
1.059406326764038009e-01,6.459800289550848840e-02
1.011313371812402884e-01,6.298111232297362583e-02
9.642144811900738022e-02,6.135101993807424992e-02
9.181213929280040986e-02,5.970886679819479431e-02
8.730455943901183069e-02,5.805584146536348772e-02
8.289983194104122433e-02,5.639317991608452235e-02
7.859905454932464286e-02,5.472216466035866034e-02
7.440329910775272948e-02,5.304412304035446835e-02
7.031361128654400883e-02,5.136042469031708302e-02
6.633101032164262501e-02,4.967247815089993052e-02
6.245648876070314381e-02,4.798172664300680290e-02
5.869101221572647908e-02,4.628964301827210442e-02
5.503551912240989274e-02,4.459772391530893165e-02
5.149092050626824513e-02,4.290748316264127865e-02
4.805809975558816838e-02,4.122044448064133421e-02
4.473791240126889779e-02,3.953813354563849580e-02
4.153118590360560525e-02,3.786206948950200657e-02
3.843871944606963575e-02,3.619375591726864405e-02
3.546128373613471885e-02,3.453467153364879472e-02
3.259962081320089133e-02,3.288626047638391198e-02
2.985444386366220559e-02,3.124992246032461118e-02
2.722643704316640711e-02,2.962700284067460582e-02
2.471625530610860322e-02,2.801878270701613563e-02
2.232452424240255473e-02,2.642646912145948240e-02
2.005183992157150152e-02,2.485118561450380334e-02
1.789876874419416009e-02,2.329396305095061612e-02
1.586584730074636074e-02,2.175573097549694454e-02
1.395358223787152019e-02,2.023730954347164462e-02
1.216245013211320058e-02,1.873940213663531640e-02
1.049289737114272869e-02,1.726258875710825341e-02
8.945340042509797307e-03,1.580732028441652129e-02
7.520163829944748191e-03,1.437391367146756242e-02
6.217723917238127118e-03,1.296254814510765761e-02
5.038344899721436398e-03,1.157326246591491858e-02
3.982320703371122761e-03,1.020595329019361244e-02
3.049914511556117702e-03,8.860374664921899512e-03
2.241358699447026925e-03,7.536138673828428336e-03
1.556854776103400173e-03,6.232717240008374751e-03
9.965733342532923089e-04,4.949445077706647773e-03
5.606540077782162790e-04,3.685523773269347002e-03
2.492054369130913827e-04,2.440026962955330579e-03
6.230524117134539352e-05,1.211906563484075380e-03
0.000000000000000000e+00,0.000000000000000000e+00
6.230524117134539352e-05,-8.720042411774773031e-04
2.492054369130913827e-04,-1.729234815116181866e-03
5.606540077782162790e-04,-2.571540776899192311e-03
9.965733342532923089e-04,-3.398854950672226035e-03
1.556854776103400173e-03,-4.211186274984022974e-03
2.241358699447082437e-03,-5.008611657141080753e-03
3.049914511556117702e-03,-5.791267439937994137e-03
3.982320703371122761e-03,-6.559340586804011941e-03
5.038344899721436398e-03,-7.313059692830311577e-03
6.217723917238127118e-03,-8.052685929298175269e-03
7.520163829944748191e-03,-8.778504028219809643e-03
8.945340042509797307e-03,-9.490813411063166866e-03
1.049289737114278420e-02,-1.018991956229384557e-02
1.216245013211320058e-02,-1.087612574368703768e-02
