x,y
8.790471500856227305e-01,2.714233331087102536e-03
8.841473758189853926e-01,2.691588821791782594e-03
8.891518639727651330e-01,2.655141515502350193e-03
8.940593673235961436e-01,2.605446584381919568e-03
8.988686628187596561e-01,2.543117463303624752e-03
9.035785518809926753e-01,2.468823714801025859e-03
9.081878607071995901e-01,2.383287952070020903e-03
9.126954405609881693e-01,2.287281865253583141e-03
9.171001680589587757e-01,2.181621414092442535e-03
9.214009454506753016e-01,2.067161266501360561e-03
9.255967008922472150e-01,1.944788577410065753e-03
9.296863887134559912e-01,1.815416215004377184e-03
9.336689896783574305e-01,1.679975552072620693e-03
9.375435112392969117e-01,1.539408948306415521e-03
9.413089877842735209e-01,1.394662054975393667e-03
9.449644808775901073e-01,1.246676076295915279e-03
9.485090794937317549e-01,1.096380122002189915e-03
9.519419002444118316e-01,9.446837831172842171e-04
9.552620875987311022e-01,7.924700577768963115e-04
9.584688140963943948e-01,6.405887463000008424e-04
9.615612805539304198e-01,4.898504246954318245e-04
9.645387162638652256e-01,3.410210936568903485e-04
9.674003791867991087e-01,1.948175860871709708e-04
9.701455561363377944e-01,5.190380059809941287e-05
9.727735629568335929e-01,-8.711218842162486242e-05
9.752837446938913413e-01,-2.216801113453778288e-04
9.776754757575973898e-01,-3.513085599456457772e-04
9.799481600784285540e-01,-4.755651241131512389e-04
9.821012312558058399e-01,-5.940756309367596589e-04
9.841341526992536393e-01,-7.065225261487652992e-04
9.860464177621284243e-01,-8.126424547417382188e-04
9.878375498678868549e-01,-9.122231131033359253e-04
